City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
174,Champerico,14.3,-91.9167,88.36,60,6,2.46,GT,clear sky
175,Ornes,66.8689,13.7078,32.11,86,100,16.58,NO,snow
176,Henties Bay,-22.116,14.2845,67.86,78,99,10.18,NA,overcast clouds
177,Kidal,18.4411,1.4078,84.51,10,4,18.59,ML,clear sky
178,Camocim,-2.9022,-40.8411,76.12,89,100,8.97,BR,overcast clouds
179,Sorkjosen,69.8,20.9333,19.49,87,93,7.34,NO,overcast clouds
180,Ilulissat,69.2167,-51.1,6.82,78,75,17.27,GL,light shower snow
181,Haines Junction,60.7522,-137.5108,1.24,98,99,3.6,CA,overcast clouds
182,Banda Aceh,5.5577,95.3222,77.85,80,44,5.99,ID,scattered clouds
183,Port Alfred,-33.5906,26.891,77.81,78,91,20.87,ZA,overcast clouds
184,Srednekolymsk,67.45,153.6833,-23.03,99,100,5.17,RU,overcast clouds
185,Sao Filipe,14.8961,-24.4956,71.1,71,100,12.3,CV,overcast clouds
186,Ludvika,60.1496,15.1878,34.03,59,22,16.87,SE,few clouds
187,Dicabisagan,17.0818,122.4157,74.95,87,97,12.75,PH,overcast clouds
188,Bengkulu,-3.8004,102.2655,76.66,92,100,5.7,ID,moderate rain
189,Codrington,-38.2667,141.9667,62.19,97,3,6.98,AU,clear sky
190,Gat,31.61,34.7642,56.39,14,8,4.47,IL,clear sky
191,Kavieng,-2.5744,150.7967,80.98,76,90,3.27,PG,light rain
192,Faanui,-16.4833,-151.75,79.79,73,68,6.8,PF,light rain
193,Sinnamary,5.3833,-52.95,81.19,73,70,9.1,GF,broken clouds
194,Longyearbyen,78.2186,15.6401,10.24,67,20,18.41,SJ,few clouds
195,Lorengau,-2.0226,147.2712,79.5,83,100,10.96,PG,overcast clouds
196,Upernavik,72.7868,-56.1549,-4.2,73,100,11.52,GL,overcast clouds
197,Severomuysk,56.1481,113.4267,-21.87,97,51,3.33,RU,broken clouds
198,Saint-Philippe,-21.3585,55.7679,80.19,77,71,13.22,RE,broken clouds
199,Huoqiu,32.3394,116.2694,36.66,77,84,5.41,CN,broken clouds
200,Yining,29.0361,114.5636,39.56,82,98,2.39,CN,light rain
201,Torbay,47.6666,-52.7314,50.77,95,100,23.02,CA,light intensity drizzle
202,Adrar,20.5022,-10.0711,86.05,9,100,18.72,MR,overcast clouds
203,Odweyne,9.4092,45.064,66.13,53,64,14.07,SO,broken clouds
204,Nelson Bay,-32.7167,152.15,73.0,94,40,2.98,AU,scattered clouds
205,Bathsheba,13.2167,-59.5167,81.21,69,20,17.27,BB,few clouds
206,Karratha,-20.7377,116.8463,83.44,67,46,26.44,AU,scattered clouds
207,Airai,-8.9266,125.4092,62.15,90,98,4.18,TL,overcast clouds
208,Sitka,57.0531,-135.33,35.49,80,100,9.22,US,light snow
209,Edd,13.9297,41.6925,82.04,60,10,18.25,ER,clear sky
210,Meadow Lake,34.8014,-106.5436,44.69,31,100,2.01,US,overcast clouds
211,Umm Kaddadah,13.6017,26.6876,71.01,11,1,11.41,SD,clear sky
212,Dondo,-19.6094,34.7431,77.5,74,18,6.46,MZ,few clouds
213,Sao Goncalo Do Sapucai,-21.8922,-45.5953,69.75,83,100,7.05,BR,light rain
214,Terney,45.0503,136.6092,1.81,82,2,10.31,RU,clear sky
215,Hornepayne,49.2138,-84.7705,-1.55,91,100,5.75,CA,overcast clouds
216,Tadine,-21.55,167.8833,79.16,88,100,14.38,NC,overcast clouds
217,Mareeba,-17.0,145.4333,73.44,93,59,1.57,AU,broken clouds
218,Shenjiamen,29.9576,122.298,41.36,68,32,14.63,CN,scattered clouds
219,Deer Lake,49.1667,-57.4316,37.26,81,100,32.21,CA,mist
220,Atherton,53.5237,-2.4935,46.29,71,89,3.0,GB,overcast clouds
221,Komsomolskiy,40.4272,71.7189,33.22,86,100,4.61,UZ,mist
222,Igrim,63.1906,64.4162,-2.61,99,98,2.95,RU,overcast clouds
223,Aleksandrov Gay,50.147,48.5704,28.78,96,100,13.8,RU,light snow
224,Baykit,61.67,96.37,-13.27,100,92,1.68,RU,overcast clouds
225,Kutum,14.2,24.6667,69.96,12,1,11.95,SD,clear sky
226,Constitucion,-35.3333,-72.4167,68.88,58,2,14.18,CL,clear sky
227,Dundee,56.5,-2.9667,41.74,87,75,12.66,GB,light rain
228,Lakes Entrance,-37.8811,147.981,68.58,98,92,1.03,AU,overcast clouds
229,Ambilobe,-13.2,49.05,76.19,90,62,1.05,MG,light rain
230,Bembereke,10.2283,2.6634,89.8,7,87,10.65,BJ,overcast clouds
231,Miramar,25.9873,-80.2323,57.06,44,0,10.36,US,clear sky
232,Novyy Urgal,51.0736,132.5642,-26.37,100,88,1.32,RU,overcast clouds
233,Portland,45.5234,-122.6762,40.6,83,75,1.01,US,broken clouds
234,Yantal,56.8471,105.2542,1.71,98,100,2.46,RU,overcast clouds
235,Port Macquarie,-31.4333,152.9167,71.49,100,75,1.14,AU,broken clouds
236,Padang,-0.9492,100.3543,77.7,91,100,4.5,ID,moderate rain
237,Vire,48.9167,-0.8333,47.59,79,70,4.72,FR,broken clouds
238,Vallenar,-28.5708,-70.7581,76.71,40,0,7.18,CL,clear sky
239,Georgetown,5.4112,100.3354,84.13,80,20,0.0,MY,few clouds
240,Egvekinot,66.3167,-179.1667,0.0,63,40,7.45,RU,scattered clouds
241,Pringsewu,-5.3582,104.9744,75.54,95,100,0.07,ID,overcast clouds
242,Dzhebariki-Khaya,62.2167,135.8,-37.32,100,66,1.1,RU,broken clouds
243,Carnarvon,-24.8667,113.6333,78.87,78,9,16.11,AU,clear sky
244,Ancud,-41.8697,-73.8203,59.43,58,31,11.52,CL,scattered clouds
245,Fuerte Olimpo,-21.0415,-57.8738,100.22,25,5,4.5,PY,clear sky
246,Dauphin,51.1494,-100.0502,12.34,85,100,6.91,CA,overcast clouds
247,Alexandria,31.2156,29.9553,56.91,47,97,13.31,EG,overcast clouds
248,Ossora,59.2353,163.0719,33.35,87,100,25.01,RU,light snow
249,Camopi,3.1655,-52.3158,83.16,68,86,5.03,GF,overcast clouds
250,Yuryuzan,54.8633,58.4219,8.91,97,90,3.89,RU,overcast clouds
251,Doha,25.2867,51.5333,66.18,48,0,10.36,QA,clear sky
252,Barra Patuca,15.8,-84.2833,73.85,78,99,17.11,HN,overcast clouds
253,Khatanga,71.9667,102.5,-10.71,98,98,9.24,RU,overcast clouds
254,Homer,59.6425,-151.5483,22.87,93,100,3.44,US,overcast clouds
255,Fairbanks,64.8378,-147.7164,-27.44,69,0,0.0,US,light snow
256,Clyde River,70.4692,-68.5914,-14.57,64,100,9.22,CA,light snow
257,Mackay,-21.15,149.2,78.84,84,26,10.74,AU,scattered clouds
258,Atar,20.5169,-13.0499,92.41,7,100,12.46,MR,overcast clouds
259,Eldorado,-23.7869,-54.2836,86.04,53,80,2.42,BR,broken clouds
260,Virginia Beach,36.8529,-75.978,33.85,44,0,6.91,US,clear sky
261,Cidreira,-30.1811,-50.2056,77.04,57,10,14.99,BR,clear sky
262,Khash,28.2211,61.2158,55.06,53,0,5.73,IR,clear sky
263,Antalaha,-14.9003,50.2788,78.64,84,90,13.27,MG,overcast clouds
264,Santa Maria,-29.6842,-53.8069,85.62,43,33,7.43,BR,scattered clouds
265,Isangel,-19.55,169.2667,78.04,91,100,9.55,VU,overcast clouds
266,Bokoro,12.3807,17.0568,83.64,9,29,12.39,TD,scattered clouds
267,Boueni,-12.9025,45.0761,82.38,68,13,6.69,YT,few clouds
268,Blackwater,-23.5833,148.8833,73.9,87,30,9.31,AU,scattered clouds
269,Mount Gambier,-37.8333,140.7667,62.51,100,100,5.75,AU,mist
270,Mets Masrik,40.2183,45.7681,12.83,87,99,1.9,AM,overcast clouds
271,Little Current,45.9793,-81.9248,18.41,89,99,3.91,CA,overcast clouds
272,Ayan,56.45,138.1667,1.53,71,100,16.96,RU,overcast clouds
273,Kirakira,-10.4544,161.9205,80.29,85,100,5.44,SB,light rain
274,Saint-Denis,48.9167,2.3333,50.07,65,75,1.99,FR,broken clouds
275,Tilichiki,60.4667,166.1,25.34,80,97,21.16,RU,overcast clouds
276,Tessalit,20.1986,1.0114,84.2,10,4,13.91,ML,clear sky
277,Nechi,8.0942,-74.7757,84.29,59,77,3.49,CO,broken clouds
278,Manono,-7.3,27.4167,71.62,94,99,4.0,CD,light rain
279,Manchester,53.4809,-2.2374,46.38,72,20,4.0,GB,few clouds
280,Lumphat,13.4878,106.9816,73.29,84,49,5.01,KH,scattered clouds
281,Luderitz,-26.6481,15.1594,70.3,73,72,5.12,NA,broken clouds
282,Kununurra,-15.7667,128.7333,80.58,83,40,14.97,AU,scattered clouds
283,Noumea,-22.2763,166.4572,76.98,88,100,9.28,NC,overcast clouds
284,Calvia,39.5657,2.5062,62.42,72,0,7.72,ES,clear sky
285,Lieksa,63.3167,30.0167,18.68,90,100,8.88,FI,overcast clouds
286,Kuandian,40.7286,124.7847,15.15,59,0,3.15,CN,clear sky
287,Raton,36.9034,-104.4391,49.64,34,0,8.05,US,clear sky
288,Kavaratti,10.5669,72.642,81.66,69,54,7.07,IN,broken clouds
289,Platteville,42.7342,-90.4785,21.88,79,100,10.36,US,overcast clouds
290,Sept-Iles,50.2001,-66.3821,6.06,67,100,11.99,CA,overcast clouds
291,Yazoo City,32.8551,-90.4056,57.63,55,0,13.89,US,clear sky
292,Merrill,45.1805,-89.6835,22.77,71,100,10.36,US,overcast clouds
293,Kloulklubed,7.0419,134.2556,75.7,67,97,9.53,PW,overcast clouds
294,Okhotsk,59.3833,143.3,14.76,77,100,17.18,RU,overcast clouds
295,Guadalupe Y Calvo,26.1,-106.9667,50.09,43,26,5.21,MX,scattered clouds
296,Huittinen,61.1833,22.7,26.19,91,100,12.68,FI,light snow
297,Kudahuvadhoo,2.6708,72.8944,82.42,73,69,13.18,MV,broken clouds
298,Severo-Kurilsk,50.6789,156.125,26.29,92,100,15.55,RU,light snow
299,Andros Town,24.7,-77.7667,64.36,53,23,15.28,BS,few clouds
300,Yanam,16.7333,82.2167,68.14,92,4,2.91,IN,clear sky
301,Kahului,20.8947,-156.47,72.84,72,0,4.61,US,clear sky
302,Pitea,65.3172,21.4794,13.08,91,56,8.41,SE,broken clouds
303,Berlevag,70.8578,29.0864,30.2,86,96,20.74,NO,light snow
304,Kangaba,11.9333,-8.4167,97.43,8,16,8.28,ML,few clouds
305,Mocuba,-16.8392,36.9856,75.18,92,20,4.76,MZ,light rain
306,Valley,45.1277,-116.1262,11.61,76,80,4.94,US,broken clouds
307,Kunda,25.7167,81.5167,57.49,53,0,4.88,IN,clear sky
308,Zyryanka,65.75,150.85,-18.13,98,100,9.75,RU,overcast clouds
309,Namatanai,-3.6667,152.4333,78.24,85,92,3.36,PG,moderate rain
310,Hambantota,6.1241,81.1185,80.94,89,40,3.44,LK,scattered clouds
311,Atasu,48.6814,71.6433,12.22,96,99,9.64,KZ,overcast clouds
312,Xining,36.6167,101.7667,11.71,68,40,1.63,CN,scattered clouds
313,Pithoragarh,29.5833,80.2167,40.19,83,3,1.79,IN,clear sky
314,Salinopolis,-0.6136,-47.3561,79.48,83,95,8.39,BR,overcast clouds
315,Port-Gentil,-0.7193,8.7815,81.93,72,99,6.78,GA,overcast clouds
316,Atambua,-9.1061,124.8925,74.84,90,99,5.97,ID,moderate rain
317,Aksu,41.1231,80.2644,25.43,46,50,2.39,CN,scattered clouds
318,Broken Hill,-31.95,141.4333,81.27,58,91,9.57,AU,overcast clouds
319,Paita,-5.0892,-81.1144,82.96,73,100,8.88,PE,overcast clouds
320,Guerrero Negro,27.9769,-114.0611,61.07,68,58,11.23,MX,broken clouds
321,Alta Floresta,-9.8756,-56.0861,72.45,96,100,5.7,BR,light rain
322,Auki,-8.7676,160.7034,77.95,87,100,4.14,SB,overcast clouds
323,Victoria,22.2855,114.1577,61.32,72,29,1.99,HK,scattered clouds
324,Panaba,21.2833,-88.2667,70.39,51,55,9.04,MX,broken clouds
325,Qasigiannguit,68.8193,-51.1922,7.05,70,100,16.73,GL,overcast clouds
326,Nome,64.5011,-165.4064,-3.89,77,0,0.0,US,clear sky
327,Sao Felix Do Xingu,-6.6447,-51.995,75.99,81,99,3.6,BR,moderate rain
328,Fort Nelson,58.8053,-122.7002,-5.64,100,98,2.19,CA,light snow
329,Pedernales,18.0384,-71.744,81.1,65,2,7.74,DO,clear sky
330,Ola,59.5833,151.2833,7.2,79,100,11.07,RU,overcast clouds
331,San Lorenzo,-25.3333,-57.5333,94.14,29,20,2.3,PY,few clouds
332,Tougue,11.4667,-11.6,92.39,9,47,9.04,GN,scattered clouds
333,Pervomayskiy,53.2485,40.2871,23.32,94,100,15.3,RU,overcast clouds
334,Bloomington,44.8408,-93.2983,18.05,67,75,9.22,US,broken clouds
335,Grindavik,63.8424,-22.4338,28.87,54,40,40.29,IS,light snow
336,Abu Samrah,35.3029,37.1841,46.54,69,69,7.99,SY,broken clouds
337,Doka,13.5167,35.7667,82.99,24,78,9.17,SD,broken clouds
338,Deputatskiy,69.3,139.9,-24.61,100,50,2.64,RU,scattered clouds
339,Sakakah,29.9697,40.2064,52.52,38,44,11.25,SA,scattered clouds
340,Santa Cruz,-17.8,-63.1667,93.25,33,40,4.61,BO,scattered clouds
341,Ambulu,-8.345,113.6058,77.31,90,100,1.88,ID,overcast clouds
342,Asau,46.4333,26.4,39.4,84,47,18.59,RO,scattered clouds
343,Hobyo,5.3505,48.5268,77.02,74,92,15.64,SO,overcast clouds
344,Bilma,18.6853,12.9164,71.76,11,2,16.53,NE,clear sky
345,Poyarkovo,49.6,128.6833,-19.79,100,62,4.27,RU,broken clouds
