City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Rameswaram,IN,80.31,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
534,Cotonou,BJ,84.96,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
542,Macapa,BR,82.38,moderate rain,0.0389,-51.0664,Atalanta Hotel
544,Tecoanapa,MX,82.2,clear sky,16.5167,-98.75,Hotel Manglares
545,Tomatlan,MX,78.75,clear sky,19.9333,-105.25,El Salvial
549,Mokolo,CM,76.55,broken clouds,10.7398,13.8019,Diwa Hôtel
555,Magdalena,PH,78.42,clear sky,14.1999,121.429,Samparada & Gestiada Residences
558,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
560,Port Augusta,AU,79.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
564,Kokopo,PG,76.44,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
570,Moerai,PF,79.25,broken clouds,-22.4333,-151.3333,Le Manotel
573,Ilebo,CD,85.35,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
584,Axim,GH,85.46,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
590,Lazaro Cardenas,MX,80.37,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
591,Vanimo,PG,77.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
592,Mercedes,AR,86.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
596,Batticaloa,LK,78.58,scattered clouds,7.7102,81.6924,Grand Star Guest House
603,Bacolod,PH,78.17,overcast clouds,10.6667,122.95,Planta Hotel & Residences
617,Nortelandia,BR,76.05,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
627,Ibra,OM,75.97,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
628,Illapel,CL,75.83,clear sky,-31.6308,-71.1653,Hotel Londres
631,Palimbang,PH,78.17,broken clouds,6.2106,124.1894,Felmar Beach resort
635,Bosaso,SO,75.83,scattered clouds,11.2842,49.1816,Red Sea Hotel
637,Paka,MY,76.69,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
638,Isiro,CD,81.64,overcast clouds,2.7739,27.616,Guest House Hewa Bora
639,Katobu,ID,77.45,overcast clouds,-4.9408,122.5276,La Ode Husein
641,Vao,NC,79.14,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
652,Swellendam,ZA,81.18,few clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
658,Conceicao Do Araguaia,BR,81.93,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
664,Cabedelo,BR,88.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
